gene_symbol,phase5C_tier,mean_delta_P_adverse_like,bootstrap_sample_stability,GSE72056_direction,recommendation,melanoma_mean_chronos_gene_effect,pan_cancer_mean_chronos_gene_effect,melanoma_selective_dependency,broad_dependency,pan_essential_risk,target_class,open_targets_drug_candidate_count,open_targets_melanoma_drugs_preview,chembl_mechanism_count,drugbank_status,manual_and_external_risk_tags,final_exploratory_priority,allowed_interpretation
PABPC1,Tier 1: high-priority model-stable candidates,-0.0055194523991997,none,same_direction,deprioritize_for_target_claim,-0.8447775069986843,-1.1230863214576987,not_supported,yes,yes,Unclassified protein,0,none_detected,0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;detection-frequency-driven perturbation risk;housekeeping-like;pan-essential risk;translation-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
RPL15,Tier 1: high-priority model-stable candidates,-0.0022257680402082,none,same_direction,deprioritize_for_target_claim,-5.347318635140001,-5.43238767520347,not_supported,yes,yes,Unclassified protein;Other cytosolic protein,6,none_detected,0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;detection-frequency-driven perturbation risk;housekeeping-like;pan-essential risk;ribosomal/translation-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
HLA-B,Tier 3: direction-inconsistent or caution candidates,-0.001730442308543,none,opposite_direction,exploratory_only,-0.0672977458671052,-0.0601258685029801,not_supported,no,no,Unclassified protein,0,none_detected,0,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;antigen-presentation context;immune-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
RPL8,Tier 1: high-priority model-stable candidates,-0.0009233398697315,none,same_direction,deprioritize_for_target_claim,-2.71709301704079,-2.6251501860879136,not_supported,yes,yes,Unclassified protein;Other cytosolic protein,6,none_detected,0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;detection-frequency-driven perturbation risk;housekeeping-like;pan-essential risk;ribosomal/translation-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
JUN,Tier 2: biologically plausible but downgraded candidates,-0.0008431487396115,inconsistent_direction;CI_crosses_zero,opposite_direction,exploratory_only,-0.2498465256697368,-0.2839544368296358,not_supported,no,no,Transcription factor,0,none_detected,0,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;immediate-early/AP-1;stress-response-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
COL1A2,Tier 2: biologically plausible but downgraded candidates,-0.0007648916765191,inconsistent_direction,opposite_direction,exploratory_only,0.0448318783552631,0.056405341304139,not_supported,no,no,Structural protein,2,none_detected,0,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;low support;microenvironment-confounding risk;stromal/ECM-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
ATF3,Tier 2: biologically plausible but downgraded candidates,-0.0007612293958663,CI_crosses_zero,opposite_direction,exploratory_only,0.0586423608697368,0.053882275596192,not_supported,no,no,not_available,0,none_detected,0,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;low support;stress-response-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
ACTG1,Tier 1: high-priority model-stable candidates,-0.0007200295447695,none,same_direction,deprioritize_for_target_claim,-0.7634488995815788,-0.7809428109835265,not_supported,yes,yes,not_available,0,none_detected,0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;cytoskeletal;detection-frequency-driven perturbation risk;housekeeping-like;pan-essential risk,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
FN1,Tier 2: biologically plausible but downgraded candidates,-0.0005887818913305,inconsistent_direction;CI_crosses_zero,opposite_direction,exploratory_only,0.0176685096171052,0.0480874412243377,not_supported,no,no,Adhesion,6,AS-1409(PHASE_1);L19IL2(PHASE_3),2,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;microenvironment-confounding risk;stromal/ECM-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
RACK1,Tier 1: high-priority model-stable candidates,-0.0004900482059444,none,same_direction,deprioritize_for_target_claim,-2.2228901037447364,-2.135062939076821,not_supported,yes,yes,Unclassified protein,0,none_detected,0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;housekeeping-like;pan-essential risk;ribosomal/translation-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
TGFBI,Tier 2: biologically plausible but downgraded candidates,-9.42615141351539e-06,inconsistent_direction;CI_crosses_zero,opposite_direction,exploratory_only,0.1150226765381578,0.1191612597227649,not_supported,no,no,Unclassified protein,0,none_detected,0,needs manual confirmation; not queried via automated API,GSE72056 opposite direction;low support;microenvironment-confounding risk;stromal/ECM-related,deprioritized_due_to_artifact_or_inconsistent_evidence,exploratory_hypothesis_generating_model_dependent_external_context_only
HSP90AB1,Tier 1: high-priority model-stable candidates,-0.0012843478184479,none,same_direction,keep_but_downgrade,-0.2161471159460526,-0.2387214628034768,not_supported,no,no,Unclassified protein;Other cytosolic protein,10,CD24FC(PHASE_3);GANETESPIB(PHASE_3);ONALESPIB(PHASE_2);RETASPIMYCIN HYDROCHLORIDE(PHASE_3);TANESPIMYCIN(PHASE_3),0,needs manual confirmation; not queried via automated API,broad cancer dependency risk;pan-essential risk;stress-response-related,exploratory_high,exploratory_hypothesis_generating_model_dependent_external_context_only
